adversaries,behaviors,weapons,techniques,tactics
APT20,Threat Actors tries to identify specific processes using tasklist and find command,tasklist.exe,T1057 - Process Discovery,discovery
APT20,Threat Actors use reg.exe to query the registry,reg.exe,T1012 - Query Registry,discovery
APT20,Threat actors queries the registry to identify recent PuTTy sessions,reg.exe,T1012 - Query Registry,discovery
APT20,Threat Actor often checks for the availability of systems using the ping command,ping.exe,T1018 - Remote System Discovery,discovery
APT20,"After the use of ping, there are network telemetry to other devices",ping.exe,T1018 - Remote System Discovery,discovery
APT20,"To get a list of all users that have authenticated with a specific domain and have a user profile, the actor executes the following command on a domain controller",doscmd/dir,T1087.002 - Account Discovery: Domain Account,discovery
APT20,"Threat Actor tries to get information from processes related to security vendors to stop it. In this case, Carbon Black was installed",tasklist.exe,T1057 - Process Discovery,discovery
APT20,"Once discovered the security solution installed, it tries to get information from the path where it was installed",doscmd/dir,T1083 - File and Directory Discovery,discovery
APT20,"Under compromised systems, threat actors retrieve basic network configuration",ipconfig.exe,T1016 - System Network Configuration Discovery,discovery
APT20,Threat Actors executes a netstat process using find command to identify specific ports of interest,netstat.exe,T1049 - System Network Connections Discovery,discovery
APT20,Threat Actors executes dnscmd.exe to get records in a zone,dnscmd.exe,T1016 - System Network Configuration Discovery,discovery
