Type,Indicator,Description
SHA256,f8e937a99244512aaa49c525d08b2cf963dbdf35ab63f39db2904fbd7b843e07,Malicious CMD file
MD5,ba09eb19b268e0a636976746ad735eee,
SHA256,05bd22eb7d75014004b4ada39d8fe5a11278f78b9aa16f50ef97e1c2fbcd66cd,Malicious CMD file
MD5,19a6616487bcdd0ee437e17a46de8870,
SHA256,6f35097d32380081fbe1e20a699adaa5f29a40f36824dc1ba3b1af09502891f2,Malicious CMD file
MD5,2bfe1a00bf55c8f66f123a48d8c07dac,
SHA256,ad2293eed137277b28727e0c24d2d4ec16d48893059cc7155ac9cda707258219,Malicious CMD file
MD5,c83afb09467cd51fb0dc7c232a3e4175,
SHA256,cd0fffdcaeff7a2c075e4104c4a48a0a07185b2822f1b534aef61986076caa7e,Malicious CMD file
MD5,72e83b133a9e4cecd21fdb47334672f6,
SHA256,3a6c2a4f830ddad3266f10890edcb96a83741f22ab8f10d735012e8830683761,Malicious CMD file
MD5,c6c51aa12cadc8f0761f008573161a17,
SHA256,46fd4d7d232ec606f235a8c6929ad959ae5fea1509ba4575a280513401b5f41b,Malicious CMD file
MD5,eb604400d1341437d72c331613455a76,
SHA256,248b70412fb548ab5ea1784b7e9947475221201022927cdaa0a81588de3951cf,Malicious CMD file
MD5,cfc7dcccb563c9d6923588a9653dfc0b,
SHA256,1f42fcd0060ea1cd970a998dd6d8588e38975045a0b4ffe8bad383711498fbc6,Malicious CMD file
MD5,79e6d5064d068858a1a0a588f4bc1f76,
SHA256,ff7853f79369fe63fbb626896849ce73ae5486630a601413c0cd889b3c189890,Malicious CMD file
MD5,9f9c4ad9214c94c538e7af66d409bfac,
SHA256,42b6bb84518a5c307bfe687d03a6a184ed23830f0c0b2381f232d31f47aceac3,Malicious CMD file
MD5,aed8a33572134f99f48e08b565c59f1e,
SHA256,db4b8cb42e11e8577cac9b2b11f73087cbfb609124d96a328446cf4666b4913d,Malicious CMD file
MD5,6fe057b010bcbb8834d0411aa43e1d75,
SHA256,f3e6e4e0135f584448bcde767bf3e9dd15dcab8e5085da4836e9f27d19181ddd,Malicious CMD file
MD5,848af0122d7426b1368736f86a361cec,
SHA256,a9fa1d3f5ae931568ee46e30e82a114a10f2dce788a91df591b51032c726ded4,Malicious CMD file
MD5,83e8d87bca5a4435fe33c627eedd7102,
SHA256,e11c71e13d2a4c9aff5f4a84c411695e1f6eba53d044e4dccb12a5120c5e40a5,Malicious CMD file
MD5,d385d824d46babde0c8cc34c66af96d6,
SHA256,981b3a8c45134b8ed5ad428b7b501f0b343890b9a7f1bb0cd1b14a638fa39f57,Malicious CMD file
MD5,70c37f78018a0413e5b221abb7b3be26,
SHA256,a56e222412a43b700c35b40dddb0b33027ee8c4281858f016e1b08b9dbd5d228,Malicious CMD file
MD5,4800c862cb46de7d7c730cc8784cf1e9,
SHA256,ce9645b25212833527fde30039ce7feeee751af46084cebbe4cfb97e4504a12e,Malicious CMD file
MD5,6dd98e2a50414014be545f6803bcbb6b,
SHA256,6b2549cd652cff8b012eb71eb46a62b097f0406a4fda71d72f7fb9ebbc960a57,Malicious CMD file
MD5,81205b730b5488463e2e5bdaee739d42,
SHA256,db7c81e5553c015494c3a16e16c9c005e50c6814b12d95ba76b000304e9e885a,Malicious CMD file
MD5,e6b82031bea6634e1a3833ed0a601dd5,
SHA256,7f5eabf92245b2bf3b620f63e02b06fd2b9ccdd786b0392e8e10142d11ed5c8e,Malicious CMD file
MD5,71a46873e0201913590668eb1220645e,
URL,hxxps[:]//multa-ansr-pt[.]fun/?hcBViJAi9EZSc3YQwxpEwfmD7xdG0IF34EWGHj6Q,Command and Control URL
URL,hxxp[:]//abeerah[.]net/dast/do/it[.]php,Command and Control URL
URL,hxxp[:]//aguiasoft[.]com[.]br/blog/arrow/do/it[.]php,Command and Control URL
URL,hxxp[:]//traveldealsbd[.]com/wp-content/arrow/do/it[.]php,Command and Control URL
URL,hxxp[:]//tripsapata[.]com/assets/images/swan/do/it[.]php,Command and Control URL
URL,hxxp[:]//websylvania[.]com/psj/do/it[.]php,Command and Control URL
URL,hxxp[:]//wineryfinderapp[.]com/image/arrow/do/it[.]php,Command and Control URL
URL,hxxp[:]//xerox[.]websylvania[.]com/dist/arrow/do/it[.]php,Command and Control URL
URL,hxxps[:]//aguiasoft[.]com[.]br/blog/arrow/do/it[.]php,Command and Control URL
URL,hxxps[:]//aguiasoft[.]com[.]br/blog/hydra/do/it[.]php,Command and Control URL
URL,hxxps[:]//aplcportugal[.]pt/projeto/arrow/do/it[.]php,Command and Control URL
URL,hxxps[:]//bailefiga[.]com/noutati/vv/do/it[.]php,Command and Control URL
URL,hxxps[:]//blablamap[.]net/images/arrow/do/it[.]php,Command and Control URL
URL,hxxps[:]//blablamap[.]net/images/swan/do/it[.]php,Command and Control URL
URL,hxxps[:]//blog[.]traveldealsbd[.]com/images/arrow/do/it[.]php,Command and Control URL
URL,hxxps[:]//bola[.]com[.]au/images/hh/cfdi/do/it[.]php,Command and Control URL
URL,hxxps[:]//bubgi[.]com/public/cfdi2/do/it[.]php,Command and Control URL
URL,hxxps[:]//documents[.]drive[.]dreamixcorporation[.]com/do/it[.]php,Command and Control URL
URL,hxxps[:]//drive[.]jatenghalaltrainingcenter[.]com/it[.]php,Command and Control URL
URL,hxxps[:]//facturacion[.]sat[.]gob[.]educationalwriters[.]com/do/it[.]php,Command and Control URL
URL,hxxps[:]//publicpressmagazine[.]com/images/swan/do/it[.]php,Command and Control URL
URL,hxxps[:]//rccgjtr[.]org/bl/do/it[.]php,Command and Control URL
URL,hxxps[:]//sebankassociates[.]co[.]tz/js/cfdi/do/it[.]php,Command and Control URL
URL,hxxps[:]//startraders[.]biz/w/cfdi/do/it[.]php,Command and Control URL
URL,hxxps[:]//stunningsolutions[.]in/js/cfdi/do/it[.]php,Command and Control URL
URL,hxxps[:]//traveldealsbd[.]com/wp-content/arrow/do/it[.]php,Command and Control URL
URL,hxxps[:]//traveldealsbd[.]com/wp-content/hydra/do/it[.]php,Command and Control URL
URL,hxxps[:]//tripsapata[.]com/assets/images/swan/do/it[.]php,Command and Control URL
URL,hxxps[:]//vspm[.]co[.]th/map/cfdi/do/it[.]php,Command and Control URL
URL,hxxps[:]//websylvania[.]com/cfdi/do/it[.]php,Command and Control URL
URL,hxxps[:]//wineryfinderapp[.]com/image/swan/do/it[.]php,Command and Control URL
URL,hxxps[:]//www[.]zairtaz[.]com/wp-content/plugins/license/inc/cfdi/do/it[.]php,Command and Control URL
URL,hxxp[:]//aplcportugal[.]pt/projeto/arrow/do/it[.]php,Command and Control URL
URL,hxxp[:]//blablamap[.]net/images/swan/do/it[.]php,Command and Control URL
URL,hxxp[:]//publicpressmagazine[.]com/images/swan/do/it[.]php,Command and Control URL
URL,hxxp[:]//traveldealsbd[.]com/wp-content/hydra/do/it[.]php,Command and Control URL
URL,hxxp[:]//wineryfinderapp[.]com/image/swan/do/it[.]php,Command and Control URL
URL,hxxp[:]//russk22[.]icu/sys/,Command and Control URL
URL,hxxp[:]//moscow12[.]at/sys/?h=,Command and Control URL
URL,hxxp[:]//moscowkov[.]xyz/sys/?h=,Command and Control URL
URL,hxxp[:]//russk22[.]icu/sys/?h=,Command and Control URL
URL,hxxp[:]//highlineadsl[.]com/ddd/it[.]php,Command and Control URL
URL,hxxp[:]//moscowkov[.]at/sys/?h=,Command and Control URL
URL,hxxp[:]//moscow12[.]at/sys/,Command and Control URL
